key,English (en)
META_DEFAULT_TITLE,Citizen OS - an e-decisionmaking platform for communities.
META_DEFAULT_DESCRIPTION,"Citizen OS enables participative discussion and voting for groups, when getting together offline or online at the same time is not an option."
META_DEFAULT_KEYWORDS,"e-decisionmaking, e-governance, e-democracy, democracy, direct democracy, liquid democracy"
BTN_YES,YES
BTN_NO,NO
LNK_CANCEL,Cancel
TOGGLE_ON,ON
TOGGLE_OFF,OFF
TXT_TOPIC_STATUS_ALL,all
TXT_TOPIC_STATUS_INPROGRESS,in progress
TXT_TOPIC_STATUS_VOTING,in voting
TXT_TOPIC_STATUS_FOLLOWUP,in follow up
TXT_TOPIC_STATUS_CLOSED,closed
TXT_TOPIC_LEVELS_ADMIN,admin
TXT_TOPIC_LEVELS_EDIT,edit
TXT_TOPIC_LEVELS_READ,read
TXT_TOPIC_LEVELS_NONE,none
TXT_TOPIC_VISIBILITY_PUBLIC,Public topic
TXT_TOPIC_VISIBILITY_PRIVATE,Private topic
TXT_REPORT_TYPES_NULL,Select a report reason
TXT_REPORT_TYPES_ABUSE,Is abusive or insulting
TXT_REPORT_TYPES_OBSCENE,Contains obscene language
TXT_REPORT_TYPES_SPAM,Contains spam or is unrelated to topic
TXT_REPORT_TYPES_HATE,Contains hate speech
TXT_REPORT_TYPES_NETIQUETTE,Infringes (n)etiquette
TXT_REPORT_TYPES_DUPLICATE,Is a duplicate
TXT_MODERATION_TYPES_NULL,Select a moderation reason
TXT_MODERATION_TYPES_ABUSE,@:TXT_REPORT_TYPES_ABUSE
TXT_MODERATION_TYPES_OBSCENE,@:TXT_REPORT_TYPES_OBSCENE
TXT_MODERATION_TYPES_SPAM,@:TXT_REPORT_TYPES_SPAM
TXT_MODERATION_TYPES_HATE,@:TXT_REPORT_TYPES_HATE
TXT_MODERATION_TYPES_NETIQUETTE,@:TXT_REPORT_TYPES_NETIQUETTE
TXT_MODERATION_TYPES_DUPLICATE,@:TXT_REPORT_TYPES_DUPLICATE
MODALS.GROUP_DELETE_CONFIRM_HEADING,Delete group
MODALS.GROUP_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to delete this group?
MODALS.GROUP_DELETE_CONFIRM_TXT_NO_UNDO,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_UNDO
MODALS.GROUP_DELETE_CONFIRM_TXT_GROUP_DELETED,The group will be deleted.
MODALS.GROUP_DELETE_CONFIRM_TXT_LOSE_ACCESS,All members of the group lose access to topics related to this group.
MODALS.GROUP_DELETE_CONFIRM_BTN_NO,"NO, KEEP THIS GROUP"
MODALS.GROUP_DELETE_CONFIRM_BTN_YES,"YES, DELETE THIS GROUP"
MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_HEADING,Remove topic
MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to remove this topic?
MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_BTN_YES,"YES, REMOVE"
MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_HEADING,Delete user
MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to delete this user?
MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_BTN_YES,@:BTN_YES
MODALS.GROUP_MEMBER_USER_LEAVE_CONFIRM_HEADING,Leave group
MODALS.GROUP_MEMBER_USER_LEAVE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to leave this group?
MODALS.GROUP_MEMBER_USER_LEAVE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.GROUP_MEMBER_USER_LEAVE_CONFIRM_BTN_YES,@:BTN_YES
